0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DOCK4,TNC,KIAA1217,COL11A1,IL32,FAT3,NDRG1,TSHZ2,SYK,PTPRG,NCAM2,MAGI1,KIF14,WWP2,AP1B1,SPARCL1
RBM47,FAT3,COL12A1,JPH1,SKAP1,CDH18,FN1,PDE10A,AGTPBP1,COL6A3,ADAMTS5,PLEKHG1,CDC25C,FAT3,FCHO2,STK4
MERTK,ELN,ITGBL1,CADM2,STAT4,COL1A2,COL11A1,COL6A3,EMILIN2,ITGA3,MATN2,MECOM,GTSE1,ID4,CR1,SAMSN1
GNA13,COL1A2,APBB2,COL9A2,CD96,PANX3,HAPLN1,EBF3,PHACTR1,ETV1,CDH18,SASH1,KIFC1,NRXN1,FCHSD2,HPGD
FMN1,PANX3,PLEKHH2,ACAN,PTPRC,ADAMTS5,NOVA1,FSTL1,TLR2,LAMC1,ANOS1,RAPGEF4,PTN,COL11A1,ADAP2,COL8A1
FRMD4B,PTN,SPON1,WWP2,LIME1,LRRC1,CHRM3,SNED1,ARHGAP26,PDGFRB,CFH,FAM155A,ANLN,LRRC1,ITGAX,IL17B
DAPK1,MATN2,TSHZ2,COL2A1,FYN,NCAPG,CA2,FNDC1,CELF2,LOXL1,FBLN1,RAPGEF5,KIF2C,COL11A2,AP2A2,TPM1
GRK3,PTH1R,FBN1,COL11A2,SLC38A1,NUF2,ID4,ACKR3,ADAM28,COL5A3,COL1A2,FGD5,CENPF,PTH1R,CPVL,ARHGAP4
ARHGAP18,SPARC,DMD,COL9A1,IKZF1,ADGRL2,ACAN,SPON1,ALOX5,NOTCH3,HPGD,DOCK9,NCAPG,NCAM2,DOCK10,GNPTAB
EEPD1,INSR,FAP,NDRG1,ARHGAP15,IFI44,COL11A2,FBN1,CSF2RA,IFI44,DCN,IGFBP7,SGO2,COL27A1,C2,BCL2
CD83,LRRC1,HMCN1,LRRC1,CNOT6L,TNNT3,GRIA2,PLEKHH2,CD83,CCDC102B,ELN,SVIL,FAT3,ADAMTS1,TMEM176B,PLCG2
DOCK2,GRIK1,SEMA3C,TNFRSF11B,PARP8,SLC26A7,SCIN,NR2F2,GPAT3,JAG1,SON,NOX4,SLC26A7,HAPLN1,SPARC,HLA-DPA1
DMXL2,COL27A1,USP9Y,SCIN,SAMSN1,PTH1R,COL9A1,ABCC9,ELF1,VEGFC,ADGRL2,ADGRL2,ADAMTS1,STAC2,KCNAB2,CFH
MYO5A,OMD,SFRP4,LAMA4,BCL2,NCAM2,SON,PDE4B,FGD4,STAC2,IFI44,PTPRE,OMD,PTN,FMN1,TNFSF10
SFMBT2,SLC26A7,THBS4,NCAM2,PIP4K2A,CDH15,COL15A1,EFEMP1,ATF3,CDH15,CNKSR3,ARHGEF28,ASPM,NDRG1,PTPRJ,CD69
TRPM2,DPT,SNED1,COL27A1,RHOH,GRIK1,WWP2,SULF2,FOXP1,HAS2,ZNF804B,LDB2,PTH1R,CADM2,DOCK2,PDGFRB
IQGAP2,ADAMTS1,ARHGAP21,ID4,CD247,ZNF804B,JPH1,LAMC1,SLC37A2,CCN1,ABCA8,TCF4,NUF2,JPH1,IQGAP2,MYBL1
TPCN1,NRXN1,FLNB,HAPLN1,PITPNC1,COL27A1,COL2A1,PTPRG,CD74,ANLN,INSR,ARHGAP29,HJURP,MATN4,ABCC5,GADD45B
HMOX1,CDH18,JAG1,TNNT3,PTPN22,NOTCH3,INSR,LAMA2,KCNAB2,CDH18,CCDC102B,PITPNC1,LRRC1,TNFRSF11B,ATP8B4,IL1B
BMP2K,CFH,PTPRK,EPYC,EML4,SON,TNFRSF11B,C1R,AOAH,ANGPT2,TNC,ARHGAP31,COL1A2,CDH18,ANOS1,RHOH
HSPH1,NID1,ITGA11,AFDN,CDC14A,KIF14,HK2,SFRP4,PTK2B,PTPRK,COL8A1,CALCRL,COL27A1,COL9A2,SLC26A7,LIME1
PLIN2,NCAM2,GFRA1,SYT8,SYNE2,LTC4S,SRPX2,ABCA8,GLIPR2,SEMA3C,HMCN1,SHANK3,PANX3,FLNB,ALDH1A1,CCND2
SLC16A10,ABCA8,CMYA5,HK2,PRKCH,HPGD,ADAMTS1,GFRA1,MS4A4E,ITGA8,LAMA2,FLI1,SPARC,AFDN,TBC1D14,PAG1
ABCA1,VCAN,LTBP2,CHRM3,TENT5C,ABCA8,GRB10,SEMA3C,IRF8,KIFC1,ENPP2,RASGRP3,TNC,EXTL1,CTSS,PIP4K2A
FAM49B,WWP2,FOXP1,EXTL1,BCL11B,DOCK10,CADM2,MT2A,FPR3,NCAPG,SLC1A3,WWTR1,WWP2,ACAN,PLPP3,NCF2
NPL,HMCN1,LAMA2,ADGRG6,RIPOR2,DCN,ISG20,COL4A4,PLEK,SGO2,CDH15,PTPRM,INSR,SON,UNC5B,SELENOP
HSP90AA1,THSD7A,DGKI,FN1,RAB8B,SPARC,MX1,COL14A1,RASSF3,UACA,SEMA3C,PREX2,CCNB1,COL9A1,MARCH1,CCSER1
SPRED1,NOTCH3,COMP,IL6R,CD44,NRXN1,IL6R,SYT4,GRK3,EDNRA,NOTCH3,PTPRK,DCN,SPARC,TTYH3,CCL3L1
ATP8B4,STAC2,SVIL,PTH1R,STK17A,MATN2,AFAP1L1,LRP1,PTGER4,ADAMTS1,DPT,VEGFC,SON,SCIN,LCP2,TIE1
GAS2L3,SON,EBF3,FLNB,CCDC88C,ETV1,NR2F1,CRISPLD2,STK17B,STK17A,C1R,ICA1,FBLN1,TNNT3,HS3ST2,CENPE
ELL,DCN,FNDC1,ADAMTS1,STK17B,CCDC102B,FMOD,FGF7,DOCK8,ITGA1,LOXL1,TEK,CNKSR3,ELN,STAC2,B2M
BAG3,TNNT3,ACKR3,C1QTNF3,EVL,COL8A1,ITGA3,CMYA5,PSAP,PXDN,ETV1,PALMD,AFDN,TGFBI,KLHL6,ELF1
MGAT4A,TGFBI,PDE10A,MATN3,TNFAIP3,TNC,FCGRT,HAS2,ELMO1,NR2F1,CCDC3,PTPRG,DPT,INSR,HSP90AA1,FTH1
PRDM1,CDH15,PXDN,HAS2,CD69,ANOS1,SCD,FBLN1,FAM49A,NR2F2,NR2F1,APBB2,TOP2A,ADGRG6,DAPK1,HLA-A
FAM49A,FBLN1,NOX4,ZBTB16,CLEC2D,ANGPT2,CPNE5,VCAN,STK10,GTSE1,POSTN,ADAMTS9,UNC5B,COL2A1,NCAM2,KLRB1
ATP6V0A1,CNKSR3,ANOS1,EFNB2,FNBP1,CFH,C3,MME,OGFRL1,CCDC3,GRIK1,NRP1,HAPLN1,LAMA4,SLC16A10,RCSD1
AP2A2,AFDN,COL6A3,SON,B2M,ARHGEF28,HLA-DMA,ENPP2,ATP8B4,CENPF,COL6A3,PLXNA2,ADAMTS4,THSD7A,RBM47,NUF2
KLHL6,COL3A1,CRISPLD2,CTHRC1,RUNX3,GTSE1,COL9A2,OPTN,CYTH1,TPM2,ADGRL4,RHOJ,ELN,RARRES2,GPNMB,BCL11B
ITPR2,COL8A1,CRIM1,SLAMF9,CD53,SLC1A3,AFDN,SOD2,KLHL6,TGFBI,PDGFRB,FAM241A,GRIK1,FMOD,MYO5A,GLIPR2
SLC9A9,ID4,MMP3,FMOD,PCED1B-AS1,OMD,AKAP12,NOVA1,AKAP13,LAMA2,ARHGEF28,THSD7A,COL3A1,ID2,SIGLEC1,AMD1
INPP5D,DOCK10,PTPRG,FAT3,GPRIN3,CNKSR3,MMP3,MAST4,ITGA4,ACTA2,COL14A1,COL21A1,ARHGEF28,SYT8,NPL,REL
PHACTR1,DIO2,SLC6A6,TPM2,MYBL1,CCN1,ADIRF,KIAA1217,SORL1,ADAMTS5,LAMA4,ADGRF5,THSD7A,CLIC3,PTH1R,STK17B
NRP1,INHBB,COL4A4,GRIA2,ANKRD12,CDC25C,ITGA11,DIO2,REL,TOP2A,SRPX2,PTPRB,EXTL1,HK2,CDH18,GLUL
PTPRJ,ABCC9,IGF1,MATN4,STK4,CTHRC1,NCAM2,AKAP12,CXorf21,COL1A2,NID1,CRIM1,VCAN,C3,ID2,JUND
FCHSD2,C3,CLSTN2,NRXN1,ARAP2,HLA-DRA,SGK1,FOSB,LCP1,ADAMTS4,THBS2,AFDN,ID2,FN1,FAM49A,TENT5C
SLC4A7,C1S,ADAMTSL2,EPAS1,CREM,PDGFRB,CTSL,FYN,RBM47,CDC25C,CCN1,DIPK2B,NRXN1,ALDH1A1,FRMD4B,VSIR
SLC18B1,ANOS1,SLC1A3,C3,SERPINB9,HLA-DPA1,C1S,FAP,AMD1,COL18A1,ANGPT2,EXOC6,TNFRSF11B,COL1A2,MRC1,PTPN22
ELMO1,HLA-DRA,SULF2,C1S,USP15,AFDN,HLA-DPA1,COL18A1,RAPGEF1,IGFBP4,C1QTNF3,DYSF,MATN2,HLA-DPA1,BMP2K,CDC14A
BAZ2B,HLA-DPA1,ADCY4,HLA-DRA,CRYBG1,FBLN1,HLA-DRA,ADCY4,PTPRJ,CDH13,SPARC,COL4A2,COL11A2,SLC26A7,SPP1,ETS1
RAPGEF1,EXTL1,THBS2,HLA-DPA1,TNFAIP8,MMP13,EPYC,FBLN5,GAS2L3,COL14A1,LRP1,ELMO1,C3,ADAMTS4,TNFRSF1B,CDKN1B
ABCC5,HAS2,CELF2,SRPX2,REL,TNFRSF11B,TNNT3,JUND,MYO1F,COL4A1,GRIA2,CPNE5,NOTCH3,CDH15,TGFBI,ALOX5
CSF2RA,HAPLN1,MARCH1,NUF2,PAG1,PLK2,INHBB,SASH1,SERPINB9,C1QTNF3,LAMC1,GRB10,HSP90AA1,HJURP,SYK,DDX3Y
STX7,HSP90AA1,MAST4,RARRES2,CLEC2B,PTPRK,SLAMF9,DMD,NFKBID,PSMB9,FAP,ADGRL4,CCN1,HLA-DRA,LRRC1,DPP4
SKAP2,ADAMTS5,FSTL1,INSR,SRGN,HJURP,JUND,THBS4,HLA-DRB5,HPGD,VCAN,ARHGEF3,TGFBI,KIF14,ARHGAP4,MX1
FCHO2,MMP13,UACA,THY1,ADGRE5,TOP2A,SYT8,USP9Y,ZNF331,APBB2,DIO2,MYH9,HMCN1,SLF1,IFI30,FCN1
WDR91,ARHGEF28,HDAC7,SCD,CELF2,WWP2,STAC2,HMCN1,ASAH1,LAMA4,COL27A1,PDE10A,HLA-DPA1,LOXL1,PHACTR1,C3
LGMN,CCDC3,COL8A1,PLA2G7,PIK3R5,ENPP2,NID1,FILIP1,PAG1,KIF2C,TNNT3,AFAP1L1,HLA-DRA,ATP6V0D2,CCL3L1,GPAT3
SYK,LRP1,CCN1,CRIM1,FYB1,ITGA8,MATN3,THBS2,MAP3K8,DMD,C3,TIE1,CCDC3,NID1,TNFSF13B,TBC1D14
CPEB4,CCDC88C,PLXNA2,ASPM,EMB,GRIA2,COL4A2,FAM155A,SAMHD1,TRIB1,PLXNA2,TMEM184B,MMP13,CPNE5,COL15A1,CENPF
TFEC,ZNF804B,FBLN1,CCNB1,CYTIP,SLF1,CAPG,CFI,ARHGAP15,MT2A,HLA-DPA1,CEMIP2,NID1,CCN1,CCN1,CRYBG1
ADAP2,CENPE,FGF7,THSD7A,DIAPH1,ADAMTS1,ADGRG6,CCDC80,CD53,SRPX2,COL12A1,PRKCH,CLIC3,MT2A,TFEC,CLEC2B
LCP2,NUF2,GASK1B,SGO2,TNF,VCAM1,EFNB2,PAPPA2,CCSER1,LTC4S,PLEKHH2,PXDN,COL11A1,SCD,CD163,UBC
NCEH1,LAMC1,NCEH1,HLA-DRB1,SEPTIN6,HAPLN1,STK17A,VCAM1,SGK1,POSTN,HLA-DRA,EBF3,RAPGEF4,PANX3,SLCO2B1,HLA-DRA
MTSS1,CLIC3,MMP13,ADIRF,PTPRJ,SGO2,LRRC1,COMP,PREX1,ADGRF5,NR2F2,ETS1,IFI44,NCAPG,CADM2,CYTIP
ST6GAL1,CCN1,PLPP3,UNC5B,STK10,NR2F1,HAS2,CCN1,TNFSF13B,COL3A1,SNORC,MTUS1,FAP,HLA-DRB1,LY86,ELMO1
AKAP13,COL12A1,EFEMP1,COL10A1,ELF1,ADGRL4,TPM2,FGD5,PIK3CG,CSF1R,INHBB,PLK2,KIAA1217,PREX1,SIPA1L2,PIK3R5
B3GNT2,TNFRSF11B,TNFSF10,SPARC,SATB1,HLA-DRB1,HLA-DRB1,SRPX2,CYTIP,FAP,CADM2,CDH13,C1S,MARCH1,GNA13,ATP8B4
TTYH3,CCDC102B,CCDC80,CDH18,TGFBR2,ASPN,GLUL,FOXP1,PRMT9,C1S,ACTA2,ADCY4,COL12A1,C1S,TLR4,CCDC88C
CPVL,SNORC,FGD5,RAPGEF4,DOCK10,SNORC,UACA,PLEKHG1,USP15,ABCC9,VCAM1,FLT1,C1QTNF3,ADIRF,LGMN,GYPC
RASSF3,KIAA1217,DIO2,NOVA1,MYO1F,C3,FLNB,TMEM176B,MARCH1,CAV1,XAF1,GASK1B,HLA-DRB1,PPP1R15A,PLA2G7,CPEB4
FGD4,HLA-DRB1,COL10A1,DIO2,ZNF331,ACTA2,IGFBP5,APBB2,JAML,FSTL1,ITGA3,ABCG1,IGFBP3,CAV1,PLIN2,GRIK1
ARHGAP26,SPRY1,GNPTAB,MGLL,DPP4,TGFBI,DUSP5,PXDN,HK2,CRISPLD2,ASPN,ATP8B1,SLF1,CDC25C,GAS2L3,LCP2
CYTH1,MTUS1,SRPX2,EFHD2,CYTH1,COL6A3,LRP1,TM4SF1,ABCG1,NID1,NOVA1,PECAM1,ABCA8,TNC,LST1,LTC4S
GPRIN3,C1QTNF3,BAZ2B,GTSE1,SLA,UACA,MATN4,XAF1,IFI30,SNORC,EDNRA,RALGAPA2,SYT8,EDNRA,COL1A2,TNFRSF1B
MAP3K8,ENPP2,IGFBP7,ID2,APBB1IP,COL10A1,RARRES2,CRIM1,GNA13,TMEM184B,PKIB,EMCN,ACTA2,SNORC,SLC18B1,CD53
IRF8,RAPGEF4,CXCL2,ATP6V0D2,SORL1,FAP,NFKBIA,CELF2,OTULINL,ASPM,ITGA8,PLVAP,FCHO2,PKIB,COL27A1,RIPOR2
TLR2,CADM2,C1R,AKAP12,ITGA4,NOVA1,CLIC3,ABCA1,SEPTIN6,CNKSR3,MTUS1,ABLIM1,SELENOP,NR2F2,ITPR2,FYB1
ARHGAP15,COL6A3,CFI,FCGRT,ETS1,SYT8,CTHRC1,TLE5,LCP2,MYH9,PTH1R,MAST4,CCDC88C,NR2F1,TLR2,RASSF5
ARRB2,RARRES2,TLE5,ARHGAP21,GBP2,SIPA1L2,XAF1,NCOA7,INPP5D,ADAMTS9,COL3A1,BAZ2B,SNORC,OMD,POU2F2,IGF1
SOD2,CCN5,TMEM176B,FSTL1,DDX3Y,LOXL1,PLK2,IGF1,ST6GAL1,COL4A2,AFDN,COL4A1,ID4,CENPE,ABCA8,FBLN2
SLCO2B1,IFI44,TCF4,CAV1,AOAH,CADM2,TRIB1,EPYC,ATP6V0A1,CFH,COL5A3,NCOA7,DOCK10,CCNB1,PKIB,BAZ2B
PIK3R5,TMEM184B,ASPN,STAC2,AKNA,NID1,TPM1,CFH,PMAIP1,FN1,HLA-DRB1,INSR,ABCC9,RAPGEF4,SLC9A9,CREM
ABCG1,SYT8,SASH1,HLA-DPB1,ZBTB16,ATP8B1,EPSTI1,NFKBIA,DOCK10,MGLL,EPSTI1,KIAA1217,ASPN,ABCC9,ST6GAL1,CRIP1
OTULINL,ADGRL4,LAMA4,FBLN2,CXCR4,KIF2C,GRN,ADAMTSL2,SULF2,CLSTN2,OMD,HDAC7,LRP1,FBLN2,ELN,CNOT6L
DDX3Y,EDNRA,OPTN,KIF2C,OPTN,CCN5,HLA-DPB1,LTBP2,SAMSN1,ADGRL2,FMOD,PDK4,RARRES2,TTYH3,RGS2,PARP8
NCKAP1L,COL14A1,ACTA2,RARRES1,ISG20,COL14A1,FBLN2,PLPP3,RASSF5,NOVA1,STAC2,RAPGEF1,HLA-DPB1,LRP1,PTK2B,SYNE2
KCNAB2,HLA-DPB1,OTULINL,MT2A,ITGAL,RAPGEF4,LAMA4,BAZ2B,IL1B,KIF14,ADAMTS1,FGD4,COL8A1,KIFC1,THEMIS2,SKAP1
C2,NCAPG,PDGFRB,PLTP,AGTPBP1,DPT,MT2A,JAG1,ADA2,MAGI1,ATP8B1,EPAS1,SCD,COL14A1,CSF1R,SOD2
DOCK8,CAV1,COL3A1,POU2F2,INPP5D,FCGRT,PTPRM,WWTR1,FCHSD2,MYBL1,PTPRK,ANGPT2,EVL,CCDC88C,HLA-DRB1,CCL5
AP1B1,FCHO2,DAB2,CRISPLD2,ABLIM1,CCDC88C,CAV1,MAP3K8,PECAM1,HMCN1,FGF7,ARRB1,FMOD,ITGA4,GLUL,SLC6A6
APLP2,FBLN2,GAS6,MX1,TLE5,SELENOP,ACKR3,HP,IKZF1,SLC1A3,C1S,PLCG2,PI16,TOP2A,TPCN1,RAB8B
PLXND1,SLF1,MATN3,INHBB,HLA-F,KIFC1,NRXN1,COL12A1,BAZ2B,IGFBP5,IL17B,SLCO2A1,SCIN,PLTP,EEPD1,ADA2
ZNF331,ACTA2,DCN,GRN,BTG2,INSR,LOXL1,GNPTAB,THEMIS2,ABCA8,SYT8,FLNB,FBLN2,HLA-DPB1,CSF2RA,ITGA8
TNFSF13B,PLXNA2,HLA-DRA,NR2F1,RCSD1,ELN,GPNMB,PDK4,SKAP2,HLA-DPA1,LTC4S,LAMC1,MTUS1,TMEM184B,LAPTM5,LST1
FPR3,ACAN,FAM155A,COL15A1,CRIP1,LAMA2,KIF14,CCND2,SRGN,ADIRF,ABCC9,CCDC3,CDH18,TPM1,SRGN,SATB1
LY96,FLNB,COL14A1,CENPF,ARHGEF3,ALDH1A1,GTSE1,HDAC7,PDE4B,VCAM1,FCHO2,ITGA1,ADAMTS5,INHBB,NR2F2,CAV1
TBC1D14,THBS2,MFAP5,PI16,FAM49B,PLXNA2,IFI44,AKAP13,DOCK2,C3,JAG1,NID1,CDKN1B,KIF2C,GPRIN3,IL32
AMD1,ADGRL2,FBLN5,HJURP,EXOC6,TPM1,PI16,FMOD,APLP2,RHOJ,ADIRF,EFNB2,ACKR3,COL15A1,PIK3CG,FGF7
SLC1A3,GADD45B,HLA-DPA1,NCF2,LCP1,HLA-DPB1,PLCG2,PALMD,CRYBG1,HLA-DRA,RARRES2,SLC4A7,CAV1,UNC5B,SLC4A7,CD247
SLC7A7,TPM2,TPM2,IGFBP4,HCLS1,CPNE5,CTSS,ITGBL1,DAPK1,LDB2,HAS2,PLPP3,HLA-DMA,GRN,CD83,STX7
